"p",1,2,3,4,5,6,"a","b","f","s","l","y","c","m","n","o","t"
1,2,2,9,8,10,18,16,25,25,30,40,0,19,0,0,0,204
2,1,8,6,8,10,12,22,21,25,30,40,0,25,0,0,0,208
3,1,6,6,8,20,12,24,29,25,30,0,50,18,0,0,0,229
4,2,4,3,16,20,12,24,26,0,30,40,0,26,0,0,0,203
5,2,4,6,8,10,18,27,0,25,30,40,0,25,0,0,0,195
6,3,4,9,12,20,18,21,0,25,30,40,0,18,0,0,0,235
7,2,6,3,16,10,12,23,28,25,30,40,0,18,0,0,0,213
8,2,8,12,8,10,18,24,28,25,30,40,50,16,0,0,0,271
9,0,4,6,8,10,18,26,0,25,30,40,50,16,0,0,0,233
10,0,6,6,8,20,18,25,26,25,30,0,0,25,0,0,0,189
11,4,4,9,12,20,12,27,25,25,30,40,50,0,0,0,0,258
12,2,4,6,12,10,12,23,26,25,30,40,0,17,0,0,0,207
13,2,4,0,8,15,6,25,24,0,30,40,0,19,0,0,0,173
14,1,6,6,16,10,24,27,28,25,30,40,0,21,0,0,0,269
15,2,4,0,8,15,12,25,29,25,30,40,0,14,0,0,0,204
16,3,4,12,12,15,18,26,26,25,30,40,0,22,0,0,0,268
17,2,4,6,12,10,18,24,19,25,30,40,0,27,0,0,0,217
18,1,6,12,8,5,12,27,0,25,30,40,50,22,0,0,0,238
19,2,0,12,8,10,12,16,0,25,30,0,0,18,0,0,0,133
20,2,4,6,0,10,24,0,26,25,30,40,0,25,0,0,0,192
21,1,0,6,8,10,12,0,28,25,30,0,0,23,0,0,0,143
22,1,6,6,8,15,18,22,28,25,30,40,0,23,0,0,0,222
23,0,4,6,0,10,0,26,27,25,30,0,50,26,0,0,0,204
24,2,8,6,16,15,18,16,25,25,30,0,50,19,0,0,0,265
25,2,4,6,8,10,18,12,25,25,30,40,0,20,0,0,0,200
26,3,4,9,12,20,18,25,26,25,30,0,50,18,0,0,0,275
27,0,4,3,12,15,18,24,17,25,30,40,50,15,0,0,0,253
28,0,6,6,12,10,24,27,27,25,30,40,0,17,0,0,0,224
29,3,4,3,8,20,12,24,29,25,30,0,0,19,0,0,0,177
30,1,4,9,8,10,18,20,22,25,30,40,0,26,0,0,0,213
